date,Q_m3d,storage_m3,substeps
2018-11-25,1674.122101406997,1293160.926938537,243
2018-11-26,1664.7291818582098,1291333.0851968608,243
2018-11-27,1655.1436714452802,1289514.8289655976,243
2018-11-28,1645.3620239309612,1287706.3543818486,243
2018-11-29,1636.0983218871634,1285907.1435001434,243
2018-11-30,1626.918680593336,1284117.112259732,243
2018-12-01,1615.4906294651785,1282333.266277599,243
2018-12-02,1606.4366084910919,1280558.4743164398,243
2018-12-03,1597.4364827017755,1278792.68248107,243
2018-12-04,1588.6476494272695,1277035.6794789748,243
2018-12-05,1580.039325626892,1275287.28480068,243
2018-12-06,1571.4786743052293,1273547.4507737067,243
2018-12-07,1562.9425505675365,1271816.1528704711,243
2018-12-08,1554.4379560142745,1270093.3595617888,243
2018-12-09,1545.9735657000904,1268379.0306434208,243
2018-12-10,1537.6026115320612,1266673.0726792207,243
2018-12-11,1529.2871490084556,1264975.4301775442,243
2018-12-12,1520.8590325287998,1263286.2157923474,243
2018-12-13,1512.2779243451998,1261605.5825153342,243
2018-12-14,1504.3492248524901,1259932.8779378138,243
2018-12-15,1496.2175940029313,1258268.3049911428,243
2018-12-16,1488.3261309527782,1256611.623507522,243
2018-12-17,1480.5138277240087,1254962.75432713,243
2018-12-18,1472.709637166093,1253321.689337296,243
2018-12-19,1464.9039452824265,1251688.4300393455,243
2018-12-20,1457.0655240470999,1250063.0091626304,243
2018-12-21,1448.9708452314128,1248445.682964731,243
2018-12-22,1441.2580094394264,1246836.0696026236,243
2018-12-23,1433.5776144676831,1245234.136635488,243
2018-12-24,1425.930470257624,1243639.8508125623,243
2018-12-25,1418.3170019803558,1242053.178457914,243
2018-12-26,1410.73625288261,1240474.0868523633,243
2018-12-27,1403.1899158871722,1238902.5415838081,243
2018-12-28,1395.6787670113602,1237338.5074641288,243
2018-12-29,1388.2035482277618,1235781.948563233,243
2018-12-30,1380.7650842350897,1234232.82812633,243
2018-12-31,1373.3636744912703,1232691.1090991707,243
2019-01-01,1363.4203316273931,1231153.7514492893,243
2019-01-02,1356.0278424967844,1229623.7862885385,243
2019-01-03,1348.5656986122783,1228101.2832716722,243
2019-01-04,1341.1887590627018,1226586.1571943555,243
2019-01-05,1333.9159193442035,1225078.3039567573,243
2019-01-06,47169.774711895036,1774597.7336800667,227
2019-01-07,15141.83664213481,1759983.4811984373,241
2019-01-08,64831.18760498107,2098722.085620779,231
2019-01-09,26038.589650082195,2104271.594093104,239
2019-01-10,20207.581748590368,2083890.0750262595,242
2019-01-11,43392.59420576159,2218974.503506526,235
2019-01-12,23618.123402198573,2195182.4427860733,242
2019-01-13,21671.122452116368,2173337.383015703,242
2019-01-14,24629.71166840788,2181567.035723841,241
2019-01-15,77132.36697603908,2437433.2093706205,232
2019-01-16,222943.63406248763,2986656.0257739034,231
2019-01-17,72732.99372289568,2985257.3053480033,237
2019-01-18,61862.31132300452,2960387.521790039,239
2019-01-19,108243.07705425823,3080892.5698750466,234
2019-01-20,87581.93336195221,3108119.0371840093,237
2019-01-21,59142.131637145096,3048802.96822861,242
2019-01-22,53966.46572930299,2994662.5651810532,242
2019-01-23,50135.75855816927,2944352.86930463,243
2019-01-24,46940.79260352792,2897238.139382848,243
2019-01-25,44127.42520761004,2852936.776856984,243
2019-01-26,41610.838156373036,2811152.001382357,243
2019-01-27,39358.56835814731,2771619.4957059557,243
2019-01-28,37321.77080186762,2734123.787585834,243
2019-01-29,35462.81030038025,2698487.0399672,243
2019-01-30,39295.98796560662,2693190.7505467674,241
2019-01-31,33617.340048174636,2659399.4731803387,243
2019-02-01,188779.3902859121,3129920.858229976,227
2019-02-02,82631.9450268913,3142990.420947439,237
2019-02-03,210643.8582053951,3418613.9393934915,229
2019-02-04,112067.15739924341,3438126.9718779074,236
2019-02-05,70477.29422187578,3367502.731779276,241
2019-02-06,63720.7492171615,3303635.0366853587,242
2019-02-07,58791.489686962275,3244696.6011216408,242
2019-02-08,108472.61801710722,3340863.245520884,235
2019-02-09,105115.8348050415,3385954.664223102,236
2019-02-10,63654.11575814063,3322153.6025882056,242
2019-02-11,62894.21217985336,3279616.728639096,241
2019-02-12,512844.3035753297,3953538.6855961336,238
2019-02-13,702062.0528027359,4439709.588557353,241
2019-02-14,324257.1037738684,4478317.601965408,232
2019-02-15,203442.1424000704,4420716.319324043,235
2019-02-16,144429.92095593244,4317688.509513023,238
2019-02-17,116497.93691417767,4201043.62672209,241
2019-02-18,104633.63612253038,4096263.044722804,242
2019-02-19,95203.37635682995,4000912.722489218,242
2019-02-20,87307.5775316442,3913458.1990808183,243
2019-02-21,80568.9392785803,3832742.3139254823,243
2019-02-22,74747.11416562932,3757848.2538830973,243
2019-02-23,69670.42112845468,3688030.886877887,243
2019-02-24,65236.45712917956,3622647.4838719517,243
2019-02-25,1025673.1427219594,4565232.652194921,242
2019-02-26,1658676.7006597272,5029972.26904469,242
2019-02-27,210329.6989606688,4862810.98444045,237
2019-02-28,163836.771934907,4698827.266628787,238
2019-03-01,305338.8549639498,4712586.259256283,232
2019-03-02,177977.9988857344,4605427.578339523,237
2019-03-03,142874.4850870912,4485566.119445273,240
2019-03-04,122409.49480943914,4366403.381230034,241
2019-03-05,425751.5464083534,4564438.3300130945,228
2019-03-06,165013.14608673207,4474442.627614788,238
2019-03-07,121521.37675645752,4352588.74634917,241
2019-03-08,195690.92473525216,4359201.387368228,235
2019-03-09,243367.16262648127,4391954.100061682,233
2019-03-10,122985.58441379176,4290776.6049575545,240
2019-03-11,104126.68842927963,4186317.4120191145,242
2019-03-12,94518.04923093403,4091466.85827902,242
2019-03-13,86747.42408842352,4004386.929681436,243
2019-03-14,80219.79119300834,3923834.6339792674,243
2019-03-15,74589.92214641898,3848912.207323688,243
2019-03-16,69699.54681017148,3778880.156004356,243
2019-03-17,65393.24368950063,3713154.407805695,243
2019-03-18,61515.83874691641,3651306.0645496184,243
2019-03-19,58008.110886829345,3592965.4491536287,243
2019-03-20,75152.77085012091,3599370.646914455,239
2019-03-21,62337.73033839085,3563406.8020079583,241
2019-03-22,358159.86394567695,4019885.170070055,231
2019-03-23,88013.03814351364,3931539.627417381,240
2019-03-24,78556.18399514715,3852650.9389130734,242
2019-03-25,172145.18647667032,3952666.8430483863,233
2019-03-26,166486.33913459312,3996025.5845674807,234
2019-03-27,121953.357284889,3973416.357968392,237
2019-03-28,255761.1852884579,4104621.7297776174,231
2019-03-29,93955.70699981498,4010333.518268642,241
2019-03-30,84044.22521286077,3925956.788546621,242
2019-03-31,77022.44423619044,3848601.83980127,242
2019-04-01,71333.69896801042,3776773.0761313085,243
2019-04-02,66522.70400481105,3709755.307424546,243
2019-04-03,62327.472779586846,3646932.769943008,243
2019-04-04,99008.7126510923,3692767.1119898846,237
2019-04-05,98199.41967409283,3711985.369485746,237
2019-04-06,100307.62310370135,3724790.0417879466,237
2019-04-07,65594.9422150626,3658700.034870933,242
2019-04-08,72971.67379815568,3630912.500051629,240
2019-04-09,59243.637063349066,3571173.7982863286,242
2019-04-10,55412.129278715634,3515266.6043056617,243
2019-04-11,52224.89924652449,3462546.640357186,243
2019-04-12,49409.25496679538,3412642.3206884395,243
2019-04-13,46882.30513736785,3365264.9508491205,243
2019-04-14,44592.330513290995,3320177.5556338783,243
2019-04-15,42508.13859918055,3277174.3523327466,243
2019-04-16,40603.55823139095,3236075.7293994045,243
2019-04-17,38860.45512556837,3196720.209571885,243
2019-04-18,37245.69136185425,3158979.4535080795,243
2019-04-19,35739.53910933475,3122744.8496967936,243
2019-04-20,34326.60756020474,3087923.1774346377,243
2019-04-21,32988.95771142694,3054439.1550212596,243
2019-04-22,31737.808929520128,3022206.2813897883,243
2019-04-23,30574.85345950949,2991136.3632283276,243
2019-04-24,29486.84466511936,2961154.453861257,243
2019-04-25,28464.173524821577,2932195.2156344843,243
2019-04-26,27505.20923702645,2904194.9416955067,243
2019-04-27,26599.714242890877,2877100.1627506646,243
2019-04-28,25739.770871833367,2850865.32717688,243
2019-04-29,24920.469270961294,2825449.7932039676,243
2019-04-30,24143.799425022145,2800810.9290769943,243
2019-05-01,23346.476472346185,2776857.4059356637,243
2019-05-02,22658.48871045241,2753591.870556227,243
2019-05-03,22005.71413185548,2730979.109755387,243
2019-05-04,21383.10117297627,2708988.9619134264,243
2019-05-05,20782.773437481446,2687599.1418069606,243
2019-05-06,20213.52561358463,2666778.5695243916,243
2019-05-07,19674.24888570288,2646497.2739697043,243
2019-05-08,19159.02819476284,2626731.199105957,243
2019-05-09,18668.501346834077,2607455.6510901386,243
2019-05-10,18202.929889125822,2588645.6745320284,243
2019-05-11,17762.338721889144,2570276.289141155,243
2019-05-12,17341.518810576832,2552327.7236615936,243
2019-05-13,16936.100412629152,2534784.57657998,243
2019-05-14,16545.897794045115,2517631.6321169506,243
2019-05-15,16171.2755489229,2500853.3098990433,243
2019-05-16,15806.20614833811,2484440.057081721,243
2019-05-17,15454.950604797878,2468378.0598079385,243
2019-05-18,108983.2497206931,2925630.8198696426,228
2019-05-19,50182.092420066125,2951365.48114971,238
2019-05-20,50438.985777958034,2979618.651044227,238
2019-05-21,35095.60769658962,2943915.996678653,242
2019-05-22,32647.00404550841,2910661.9459641604,242
2019-05-23,30927.28292266892,2879127.616372507,243
2019-05-24,29509.283926815333,2849011.2857767073,243
2019-05-25,28285.633826886842,2820118.605280836,243
2019-05-26,27200.877525988573,2792310.681085863,243
2019-05-27,26170.224269357117,2765533.4101475216,243
2019-05-28,25195.970494275985,2739730.3929842613,243
2019-05-29,24292.886604765037,2714830.459710512,243
2019-05-30,23451.890767130142,2690771.5222743973,243
2019-05-31,22664.515890929455,2667499.9597144835,243
2019-06-01,21844.04239119776,2644615.6817342527,243
2019-06-02,21137.266664601866,2622438.179480618,243
2019-06-03,20463.47769264458,2600934.4661989403,243
2019-06-04,19834.799488134686,2580059.4311217726,243
2019-06-05,19241.435244018216,2559777.7602887214,243
2019-06-06,18682.258363737263,2540055.266335951,243
2019-06-07,18150.737516170837,2520864.2932307473,243
2019-06-08,17638.60504727811,2502185.4525944362,243
2019-06-09,17154.70475860639,2483990.512246797,243
2019-06-10,16686.462344955657,2466263.814312808,243
2019-06-11,16244.524883660491,2448979.0538401147,243
2019-06-12,15823.851491159763,2432114.966759922,243
2019-06-13,15422.918452217247,2415651.8127186717,243
2019-06-14,15038.710726900961,2399572.866402738,243
2019-06-15,14669.262104540136,2383863.3687091647,243
2019-06-16,14316.46058203001,2368506.6725381017,243
2019-06-17,13982.760866386354,2353483.6760826823,243
2019-06-18,13664.687294161417,2338778.753199488,243
2019-06-19,13358.259272434287,2324380.2583380206,243
2019-06-20,13062.449173323814,2310277.573575664,243
2019-06-21,12775.764918350153,2296461.5730682807,243
2019-06-22,12496.677349103618,2282924.660130144,243
2019-06-23,12230.827331893615,2269653.5972092175,243
2019-06-24,11973.142318185888,2256640.2193019986,243
2019-06-25,11720.844981419858,2243879.138731546,243
2019-06-26,11468.009163443934,2231370.893979069,243
2019-06-27,11231.326950110499,2219099.3314399254,243
2019-06-28,11001.646671327766,2207057.4491795646,243
2019-06-29,10780.494812677152,2195236.7187778545,243
2019-06-30,10566.556431250185,2183629.9267575713,243
2019-07-01,10098.208448520167,2171738.577162871,243
2019-07-02,9869.724922856087,2160075.711093835,243
2019-07-03,9661.624363585146,2148620.94558407,243
2019-07-04,9460.339955510808,2137367.464482379,243
2019-07-05,9267.549237391217,2126306.774098808,243
2019-07-06,9078.410828610187,2115435.222124018,243
2019-07-07,8897.888456901772,2104744.192520936,243
2019-07-08,8713.62370400038,2094237.4276707557,243
2019-07-09,8536.541363362925,2083907.7451612127,243
2019-07-10,8358.999816341795,2073755.604198691,243
2019-07-11,8201.094948313901,2063761.368104197,243
2019-07-12,8048.778580102841,2053919.4483779143,243
2019-07-13,7900.270188256404,2044226.0370434779,243
2019-07-14,7755.39316608082,2034677.502731217,243
2019-07-15,7616.428823841507,2025267.9327611956,243
2019-07-16,7482.565920142229,2015992.2256948734,243
2019-07-17,7352.46932746843,2006846.615221225,243
2019-07-18,7224.919591722083,1997828.554483323,243
2019-07-19,7100.035423827129,1988935.3779133158,243
2019-07-20,6978.255420625447,1980163.9813465104,243
2019-07-21,6860.3293776672845,1971510.510822663,243
2019-07-22,6742.420791893038,1962974.94888459,243
2019-07-23,6624.7782778574665,1954557.0294605526,243
2019-07-24,6512.9687171396845,1946250.919597233,243
2019-07-25,6405.048911794792,1938052.7295392582,243
2019-07-26,6297.960625387733,1929961.6277676905,243
2019-07-27,6193.321394523843,1921975.1652269866,243
2019-07-28,6091.793043400864,1914090.2310374058,243
2019-07-29,5989.084254720486,1906308.0056365053,243
2019-07-30,5887.26409048378,1898627.6003998416,243
2019-07-31,5790.179360653278,1891044.2798930083,243
2019-08-01,5868.251886148433,1883753.0348496279,243
2019-08-02,5783.314766693124,1876546.7269257028,243
2019-08-03,5698.967001198054,1869424.7667672727,243
2019-08-04,5616.7441202385435,1862385.0294898022,243
2019-08-05,5534.460792043907,1855427.5755405263,243
2019-08-06,5455.272558919349,1848549.309824375,243
2019-08-07,5376.438800181457,1841749.8778669615,243
2019-08-08,5296.268807911043,1835030.6159018185,243
2019-08-09,5214.358542626918,1828393.2642019596,243
2019-08-10,5140.970850173811,1821829.3001945538,243
2019-08-11,5068.499146408596,1815337.8078909132,243
2019-08-12,4997.984585100281,1808916.830148581,243
2019-08-13,4929.128494513416,1802564.7084968355,243
2019-08-14,4861.850916104586,1796279.864423499,243
2019-08-15,4795.778758370978,1790061.092507896,243
2019-08-16,4729.138020468605,1783908.9613301954,243
2019-08-17,4663.958936873785,1777822.0092360897,243
2019-08-18,4600.939026619735,1771798.077052238,243
