date,Q_m3d,storage_m3,substeps
2021-11-11,9188.234227125999,1426785.408126528,242
2021-11-12,8246.986573424423,1418538.4215531035,243
2021-11-13,7601.885098872241,1410936.5364542312,243
2021-11-14,7142.684680877952,1403793.8517733533,243
2021-11-15,6799.242729398655,1396994.6090439546,243
2021-11-16,6511.282165407436,1390483.3268785472,243
2021-11-17,6247.76579968771,1384235.5610788595,243
2021-11-18,5995.956368611427,1378239.604710248,243
2021-11-19,5774.900709116831,1372464.7040011312,243
2021-11-20,5601.614831424085,1366863.0891697071,243
2021-11-21,5447.713110878132,1361415.376058829,243
2021-11-22,5284.503291854169,1356130.8727669748,243
2021-11-23,5128.029905322939,1351002.842861652,243
2021-11-24,4984.727279233979,1346018.115582418,243
2021-11-25,4862.68964634859,1341155.4259360693,243
2021-11-26,4749.109424710274,1336406.316511359,243
2021-11-27,4631.483268210664,1331774.8332431484,243
2021-11-28,4516.301530840807,1327258.5317123076,243
2021-11-29,4406.168944858015,1322852.3627674496,243
2021-11-30,4307.157919811085,1318545.2048476385,243
2021-12-01,4222.868083019741,1314322.3367646188,243
2021-12-02,4144.069411443081,1310178.2673531757,243
2021-12-03,4065.169092059601,1306113.098261116,243
2021-12-04,3990.2433256017976,1302122.8549355143,243
2021-12-05,3921.538356346311,1298201.316579168,243
2021-12-06,3848.680063361535,1294352.6365158064,243
2021-12-07,3773.7305238950066,1290578.9059919114,243
2021-12-08,3699.618826439604,1286879.2871654718,243
2021-12-09,3627.076345312409,1283252.2108201594,243
2021-12-10,3557.7318637135904,1279694.4789564458,243
2021-12-11,23368.79824440833,1546202.754084434,233
2021-12-12,87465.11231326894,2057756.8199267588,228
2021-12-13,89012.69520155957,2312892.3253169395,231
2021-12-14,32044.47419408569,2280847.851122854,240
2021-12-15,124406.49265322706,2631080.717682638,229
2021-12-16,43818.60767612979,2587262.1100065084,241
2021-12-17,39344.087275968865,2547918.0227305396,242
2021-12-18,36765.153347581625,2511152.869382958,242
2021-12-19,34680.3742000591,2476472.495182899,243
2021-12-20,32904.30286956485,2443568.192313334,243
2021-12-21,58348.4682435703,2549660.56442601,236
2021-12-22,129129.59291068779,2831532.0906496,230
2021-12-23,122540.4535034498,2983222.94888625,233
2021-12-24,109956.90552945805,3067617.9261090597,235
2021-12-25,91241.44937039279,3092697.468608982,237
2021-12-26,118275.74447761479,3180735.101705502,234
2021-12-27,67199.24360457652,3123889.490290867,241
2021-12-28,93281.6894695998,3164024.77005691,237
2021-12-29,64234.646633062075,3114066.146259141,241
2021-12-30,56523.10013969056,3057543.0461194506,242
2021-12-31,52339.69631822547,3005203.349801225,243
2022-01-01,48880.34756968077,2956323.0022315443,243
2022-01-02,50211.04919405393,2929011.5131419236,241
2022-01-03,136055.3203140531,3163064.9749306934,231
2022-01-04,60483.81223810404,3111396.254290278,241
2022-01-05,53970.210739794195,3059888.548284813,242
2022-01-06,62101.47822010129,3054803.5407270896,240
2022-01-07,61603.95603101898,3049252.0890972423,240
2022-01-08,48593.46943437541,3000658.619662867,242
2022-01-09,45297.47752331244,2955361.1421395545,243
2022-01-10,42602.306473862845,2912758.8356656916,243
2022-01-11,40250.4588336302,2872508.3768320614,243
2022-01-12,38140.78306298703,2834367.5937690744,243
2022-01-13,36235.74305535853,2798131.850713716,243
2022-01-14,34500.783784502186,2763631.0669292137,243
2022-01-15,32908.50144423172,2730722.565484982,243
2022-01-16,31444.974377432838,2699277.591107549,243
2022-01-17,30092.273634342477,2669185.3174732067,243
2022-01-18,28830.63830802124,2640354.6791651854,243
2022-01-19,27655.909165405203,2612698.76999978,243
2022-01-20,26555.11334136175,2586143.6566584185,243
2022-01-21,25528.33182794135,2560615.324830477,243
2022-01-22,24576.498017621227,2536038.826812856,243
2022-01-23,23695.316125359852,2512343.510687496,243
2022-01-24,22867.376415864564,2489476.1342716315,243
2022-01-25,22085.765066978056,2467390.3692046534,243
2022-01-26,21348.316710645333,2446042.052494008,243
2022-01-27,20652.242598303594,2425389.8098957045,243
2022-01-28,19989.01328610629,2405400.796609598,243
2022-01-29,19359.991918669082,2386040.804690929,243
2022-01-30,18769.368484663777,2367271.4362062654,243
2022-01-31,18211.326254927088,2349060.1099513383,243
2022-02-01,17682.737175622024,2331377.3727757162,243
2022-02-02,17181.042709531728,2314196.3300661845,243
2022-02-03,16703.629613946192,2297492.7004522383,243
2022-02-04,16248.571407056414,2281244.129045182,243
2022-02-05,15814.285999066196,2265429.8430461157,243
2022-02-06,15399.040526807308,2250030.8025193084,243
2022-02-07,15004.84807870444,2235025.954440604,243
2022-02-08,14628.15792561043,2220397.7965149935,243
2022-02-09,14272.776779363863,2206125.0197356297,243
2022-02-10,13931.582053251565,2192193.437682378,243
2022-02-11,13602.222723270766,2178591.2149591073,243
2022-02-12,13285.01706927456,2165306.197889833,243
2022-02-13,12980.120302992407,2152326.0775868404,243
2022-02-14,12686.549119329546,2139639.528467511,243
2022-02-15,12403.952586634085,2127235.5758808767,243
2022-02-16,12133.41721078381,2115102.158670093,243
2022-02-17,11874.256840035785,2103227.901830057,243
2022-02-18,11624.023799020797,2091603.8780310364,243
2022-02-19,11382.186104594963,2080221.6919264414,243
2022-02-20,11148.81292985892,2069072.8789965825,243
2022-02-21,10923.055494468426,2058149.823502114,243
2022-02-22,10703.412338010734,2047446.4111641033,243
2022-02-23,10490.215144973015,2036956.1960191303,243
2022-02-24,10283.85083010653,2026672.3451890238,243
2022-02-25,10084.203358774772,2016588.141830249,243
2022-02-26,9889.700424805516,2006698.4414054435,243
2022-02-27,9700.832645440008,1996997.6087600035,243
2022-02-28,9517.772881832905,1987479.8358781706,243
2022-03-01,9341.577376359142,1978138.2585018114,243
2022-03-02,9171.659334672615,1968966.5991671388,243
2022-03-03,9007.625259260647,1959958.9739078782,243
2022-03-04,8850.664424947463,1951108.3094829307,243
2022-03-05,8699.266048512422,1942409.0434344183,243
2022-03-06,8551.898330357857,1933857.1451040604,243
2022-03-07,8409.44229910872,1925447.7028049517,243
2022-03-08,8271.487003725255,1917176.2158012264,243
2022-03-09,8137.280800319044,1909038.9350009074,243
2022-03-10,8006.610253942199,1901032.3247469652,243
2022-03-11,7881.875378254568,1893150.4493687106,243
2022-03-12,7762.277372958604,1885388.171995752,243
2022-03-13,7645.354192333063,1877742.817803419,243
2022-03-14,7531.520180101739,1870211.2976233172,243
2022-03-15,7420.80183637701,1862790.4957869402,243
2022-03-16,7312.307650656905,1855478.1881362833,243
2022-03-17,7206.240385116078,1848271.9477511672,243
2022-03-18,7102.223011113005,1841169.7247400542,243
2022-03-19,7000.369229505537,1834169.3555105487,243
2022-03-20,6901.333574195625,1827268.021936353,243
2022-03-21,6805.531145704677,1820462.4907906484,243
2022-03-22,6711.94425542932,1813750.546535219,243
2022-03-23,6620.388861524174,1807130.157673695,243
2022-03-24,6531.2127048878465,1800598.944968807,243
2022-03-25,6443.7231661845,1794155.2218026225,243
2022-03-26,6357.864056067076,1787797.3577465555,243
2022-03-27,6273.893941606861,1781523.4638049486,243
2022-03-28,6191.695840636268,1775331.7679643123,243
2022-03-29,6111.436300128233,1769220.331664184,243
2022-03-30,6032.6282781497575,1763187.7033860344,243
2022-03-31,5955.174290554132,1757232.5290954802,243
2022-04-01,5879.056694937171,1751353.472400543,243
2022-04-02,5804.500519706169,1745548.9718808369,243
2022-04-03,5732.536576184444,1739816.4353046524,243
2022-04-04,5662.474715018878,1734153.9605896336,243
2022-04-05,5594.176516868407,1728559.7840727651,243
2022-04-06,5527.252848746721,1723032.5312240184,243
2022-04-07,5462.0854650186375,1717570.4457589998,243
2022-04-08,5398.40981210256,1712172.0359468972,243
2022-04-09,5335.916681499686,1706836.1192653975,243
2022-04-10,5274.519821885042,1701561.5994435125,243
2022-04-11,5214.405159992399,1696347.19428352,243
2022-04-12,5155.52667780011,1691191.66760572,243
2022-04-13,5097.664504888933,1686094.003100831,243
2022-04-14,5041.036495804787,1681052.9666050263,243
2022-04-15,4985.343227015343,1676067.623378011,243
2022-04-16,4930.575412759557,1671137.0479652514,243
2022-04-17,4876.862598062959,1666260.1853671884,243
2022-04-18,4824.306889677886,1661435.8784775105,243
2022-04-19,4772.991051696707,1656662.8874258138,243
2022-04-20,4722.609908765415,1651940.2775170484,243
2022-04-21,4672.933591291308,1647267.343925757,243
2022-04-22,4624.133589823265,1642643.2103359338,243
2022-04-23,4576.008114204509,1638067.2022217293,243
2022-04-24,4528.51327647781,1633538.6889452515,243
2022-04-25,4481.744029744528,1629056.944915507,243
2022-04-26,4435.6072844509035,1624621.337631056,243
2022-04-27,4390.137632776517,1620231.1999982796,243
2022-04-28,4345.29194181948,1615885.90805646,243
2022-04-29,4301.172066108324,1611584.7359903518,243
2022-04-30,4257.649527391186,1607327.0864629606,243
2022-05-01,4214.728103233036,1603112.3583597275,243
2022-05-02,4172.442694819765,1598939.9156649078,243
2022-05-03,4131.182885076618,1594808.7327798312,243
2022-05-04,4090.701895802282,1590718.0308840289,243
2022-05-05,4051.3087037140504,1586666.7221803148,243
2022-05-06,4012.6438339753076,1582654.0783463395,243
2022-05-07,3974.948678739369,1578679.1296676002,243
2022-05-08,3937.7822602333035,1574741.3474073668,243
2022-05-09,3901.0192385674454,1570840.3281687994,243
2022-05-10,3864.748526111711,1566975.5796426877,243
2022-05-11,3829.0771402979735,1563146.5025023897,243
2022-05-12,3793.950388308149,1559352.5521140816,243
2022-05-13,3759.4341275696643,1555593.117986512,243
2022-05-14,3725.3185390413273,1551867.7994474706,243
2022-05-15,3691.629695151234,1548176.1697523193,243
2022-05-16,3658.5586255800445,1544517.6111267393,243
2022-05-17,3626.0833793408237,1540891.5277473985,243
2022-05-18,3593.987650000723,1537297.5400973978,243
2022-05-19,3562.2448285864666,1533735.2952688113,243
2022-05-20,3530.9049936395604,1530204.3902751717,243
2022-05-21,3499.9327051409055,1526704.4575700308,243
2022-05-22,3469.3108602853026,1523235.1467097455,243
2022-05-23,3439.0159710359294,1519796.1307387096,243
2022-05-24,3409.151269840542,1516386.979468869,243
2022-05-25,3379.77386702504,1513007.205601844,243
2022-05-26,3350.923143037595,1509656.2824588064,243
2022-05-27,3322.605172662763,1506333.6772861436,243
2022-05-28,3294.593130116118,1503039.0841560275,243
2022-05-29,3266.86587368045,1499772.218282347,243
2022-05-30,3239.550259103067,1496532.668023244,243
2022-05-31,3212.595412905561,1493320.0726103385,243
2022-06-01,3185.9900819091126,1490134.0825284293,243
2022-06-02,3159.7092679745983,1486974.3732604547,243
2022-06-03,3133.68183393497,1483840.6914265198,243
2022-06-04,3107.905057306867,1480732.786369213,243
2022-06-05,3082.377252844628,1477650.4091163683,243
2022-06-06,3057.103342059301,1474593.305774309,243
2022-06-07,3032.0973901988473,1471561.2083841101,243
2022-06-08,3007.3744630471338,1468553.833921063,243
2022-06-09,2983.2334122511093,1465570.600508812,243
2022-06-10,2959.403259667568,1462611.1972491443,243
2022-06-11,2935.7895461877342,1459675.4077029566,243
2022-06-12,2912.4003276985604,1456763.007375258,243
2022-06-13,2889.3364991822746,1453873.6708760757,243
2022-06-14,2866.5323385291267,1451007.1385375466,243
2022-06-15,2844.0730851008557,1448163.0654524458,243
2022-06-16,2821.961843062192,1445341.1036093836,243
2022-06-17,2800.051198175177,1442541.0524112084,243
2022-06-18,2778.350263667293,1439762.702147541,243
2022-06-19,2756.942716455087,1437005.759431086,243
2022-06-20,2735.8237181268632,1434269.9357129592,243
2022-06-21,2714.985549631994,1431554.9501633272,243
2022-06-22,2694.409832086414,1428860.5403312407,243
2022-06-23,2674.071976570878,1426186.4683546699,243
2022-06-24,2654.040869214572,1423532.4274854553,243
2022-06-25,2634.1977055319585,1420898.2297799233,243
2022-06-26,2614.59582541883,1418283.6339545045,243
2022-06-27,2595.2657096621115,1415688.3682448424,243
2022-06-28,2576.2965717271436,1413112.0716731152,243
2022-06-29,2557.6293137362227,1410554.442359379,243
2022-06-30,2539.2521559563465,1408015.1902034227,243
2022-07-01,2521.0975101357326,1405494.092693287,243
2022-07-02,2503.08815201628,1402991.0045412707,243
2022-07-03,2485.2215025031473,1400505.7830387675,243
2022-07-04,2467.5002132891677,1398038.2828254784,243
2022-07-05,2449.926045462489,1395588.3567800159,243
2022-07-06,2432.499989119824,1393155.856790896,243
2022-07-07,2415.22214800003,1390740.634642896,243
2022-07-08,2398.092933914857,1388342.5417089812,243
2022-07-09,2381.1125784916803,1385961.4291304895,243
2022-07-10,2364.2805931414478,1383597.148537348,243
2022-07-11,2347.5961604467593,1381249.5523769013,243
2022-07-12,2331.0586934909225,1378918.4936834103,243
2022-07-13,2314.693075871095,1376603.8006075392,243
2022-07-14,2298.4843381962273,1374305.316269343,243
2022-07-15,2282.414453833597,1372022.9018155094,243
2022-07-16,2266.4835976460017,1369756.4182178634,243
2022-07-17,2250.735630686162,1367505.6825871773,243
2022-07-18,2235.144025552552,1365270.5385616247,243
2022-07-19,2219.6811504089274,1363050.8574112158,243
2022-07-20,2204.3474532605615,1360846.5099579552,243
2022-07-21,2189.2144102470484,1358657.2955477082,243
2022-07-22,2174.507079551462,1356482.7884681567,243
2022-07-23,2160.1116333378013,1354322.676834819,243
2022-07-24,2145.9696305445395,1352176.7072042744,243
2022-07-25,2132.008033484919,1350044.6991707894,243
2022-07-26,2118.159122357378,1347926.540048432,243
2022-07-27,2104.365666865371,1345822.1743815667,243
2022-07-28,2090.8227057422046,1343731.3516758245,243
2022-07-29,2077.5380979389884,1341653.8135778855,243
2022-07-30,2064.3357509723864,1339589.4778269131,243
2022-07-31,2051.2547569721937,1337538.223069941,243
2022-08-01,2038.265222595306,1335499.9578473456,243
2022-08-02,2025.4479144841898,1333474.5099328614,243
2022-08-03,2012.8722857278772,1331461.6376471336,243
2022-08-04,2000.465575774433,1329461.1720713591,243
2022-08-05,1988.1364244385622,1327473.0356469206,243
2022-08-06,1976.0272982737515,1325497.0083486468,243
2022-08-07,1964.0300647716504,1323532.9782838752,243
2022-08-08,1952.1052412104327,1321580.8730426647,243
2022-08-09,1940.253911922453,1319640.6191307423,243
2022-08-10,1928.4772656941786,1317712.141865048,243
2022-08-11,1916.776298864046,1315795.365566184,243
2022-08-12,1905.1517603392713,1313890.2138058448,243
2022-08-13,1893.615551345516,1311996.5982544993,243
2022-08-14,1882.3416967771482,1310114.256557722,243
2022-08-15,1871.214405949926,1308243.0421517722,243
2022-08-16,1860.185582172824,1306382.8565695994,243
2022-08-17,1849.3027069743257,1304533.553862625,243
2022-08-18,1838.5416074444074,1302695.0122551806,243
2022-08-19,1827.9748092559166,1300867.0374459247,243
2022-08-20,1817.5963346580975,1299049.4411112666,243
2022-08-21,1807.2871024878696,1297242.1540087787,243
2022-08-22,1797.0601947782561,1295445.0938140005,243
2022-08-23,1787.0525159484241,1293658.041298052,243
2022-08-24,1777.153727490222,1291880.8875705618,243
2022-08-25,1767.3925626422279,1290113.4950079196,243
