APN,Month,waterUse_m3Day
W0064,1,0.744590147
W0064,2,0.62459265
W0064,3,0.720742064
W0064,4,0.696893981
W0064,5,1.405144192
W0064,6,2.341654626
W0064,7,3.707052013
W0064,8,3.035520279
W0064,9,2.272003082
W0064,10,1.301045417
W0064,11,0.696893981
W0064,12,0.720742064
W0065,1,0.744590147
W0065,2,0.62459265
W0065,3,0.720742064
W0065,4,0.696893981
W0065,5,1.405144192
W0065,6,2.341654626
W0065,7,3.707052013
W0065,8,3.035520279
W0065,9,2.272003082
W0065,10,1.301045417
W0065,11,0.696893981
W0065,12,0.720742064
W0066,1,0.744590147
W0066,2,0.62459265
W0066,3,0.720742064
W0066,4,0.696893981
W0066,5,1.405144192
W0066,6,2.341654626
W0066,7,3.707052013
W0066,8,3.035520279
W0066,9,2.272003082
W0066,10,1.301045417
W0066,11,0.696893981
W0066,12,0.720742064
W0067,1,0.744590147
W0067,2,0.62459265
W0067,3,0.720742064
W0067,4,0.696893981
W0067,5,1.405144192
W0067,6,2.341654626
W0067,7,3.707052013
W0067,8,3.035520279
W0067,9,2.272003082
W0067,10,1.301045417
W0067,11,0.696893981
W0067,12,0.720742064
W0068,1,0.744590147
W0068,2,0.62459265
W0068,3,0.720742064
W0068,4,0.696893981
W0068,5,1.405144192
W0068,6,2.341654626
W0068,7,3.707052013
W0068,8,3.035520279
W0068,9,2.272003082
W0068,10,1.301045417
W0068,11,0.696893981
W0068,12,0.720742064
W0069,1,0.744590147
W0069,2,0.62459265
W0069,3,0.720742064
W0069,4,0.696893981
W0069,5,1.405144192
W0069,6,2.341654626
W0069,7,3.707052013
W0069,8,3.035520279
W0069,9,2.272003082
W0069,10,1.301045417
W0069,11,0.696893981
W0069,12,0.720742064
W0070,1,0.744590147
W0070,2,0.62459265
W0070,3,0.720742064
W0070,4,0.696893981
W0070,5,1.405144192
W0070,6,2.341654626
W0070,7,3.707052013
W0070,8,3.035520279
W0070,9,2.272003082
W0070,10,1.301045417
W0070,11,0.696893981
W0070,12,0.720742064
W0071,1,0.744590147
W0071,2,0.62459265
W0071,3,0.720742064
W0071,4,0.696893981
W0071,5,1.405144192
W0071,6,2.341654626
W0071,7,3.707052013
W0071,8,3.035520279
W0071,9,2.272003082
W0071,10,1.301045417
W0071,11,0.696893981
W0071,12,0.720742064
W0072,1,0.245673109
W0072,2,0.206304845
W0072,3,0.237723748
W0072,4,0.229774387
W0072,5,0.463712725
W0072,6,0.772602181
W0072,7,1.223444512
W0072,8,1.001619486
W0072,9,0.749889721
W0072,10,0.429265494
W0072,11,0.229774387
W0072,12,0.237723748
W0073,1,0.245673109
W0073,2,0.206304845
W0073,3,0.237723748
W0073,4,0.229774387
W0073,5,0.463712725
W0073,6,0.772602181
W0073,7,1.223444512
W0073,8,1.001619486
W0073,9,0.749889721
W0073,10,0.429265494
W0073,11,0.229774387
W0073,12,0.237723748
W0074,1,0.744590147
W0074,2,0.62459265
W0074,3,0.720742064
W0074,4,0.696893981
W0074,5,1.405144192
W0074,6,2.341654626
W0074,7,3.707052013
W0074,8,3.035520279
W0074,9,2.272381623
W0074,10,1.301045417
W0074,11,0.696893981
W0074,12,0.720742064
W0075,1,0.744590147
W0075,2,0.62459265
W0075,3,0.720742064
W0075,4,0.696893981
W0075,5,1.405144192
W0075,6,2.341654626
W0075,7,3.707052013
W0075,8,3.035520279
W0075,9,2.272381623
W0075,10,1.301045417
W0075,11,0.696893981
W0075,12,0.720742064
W0076,1,0.744590147
W0076,2,0.62459265
W0076,3,0.720742064
W0076,4,0.696893981
W0076,5,1.405144192
W0076,6,2.341654626
W0076,7,3.707052013
W0076,8,3.035520279
W0076,9,2.272381623
W0076,10,1.301045417
W0076,11,0.696893981
W0076,12,0.720742064
W0077,1,0.372484344
W0077,2,0.312296325
W0077,3,0.360371032
W0077,4,0.34825772
W0077,5,0.702572096
W0077,6,1.170827313
W0077,7,1.853336736
W0077,8,1.517570869
W0077,9,1.136001541
W0077,10,0.650333438
W0077,11,0.34825772
W0077,12,0.360371032
W0078,1,0.744590147
W0078,2,0.62459265
W0078,3,0.720742064
W0078,4,0.696893981
W0078,5,1.405144192
W0078,6,2.341654626
W0078,7,3.707052013
W0078,8,3.035520279
W0078,9,2.272003082
W0078,10,1.301045417
W0078,11,0.696893981
W0078,12,0.720742064
W0079,1,0.744590147
W0079,2,0.62459265
W0079,3,0.720742064
W0079,4,0.696893981
W0079,5,1.405144192
W0079,6,2.341654626
W0079,7,3.707052013
W0079,8,3.035520279
W0079,9,2.272381623
W0079,10,1.301045417
W0079,11,0.696893981
W0079,12,0.720742064
W0080,1,0.744590147
W0080,2,0.62459265
W0080,3,0.720742064
W0080,4,0.696893981
W0080,5,1.405144192
W0080,6,2.341654626
W0080,7,3.707052013
W0080,8,3.035520279
W0080,9,2.272381623
W0080,10,1.301045417
W0080,11,0.696893981
W0080,12,0.720742064
W0081,1,0.744590147
W0081,2,0.62459265
W0081,3,0.720742064
W0081,4,0.696893981
W0081,5,1.405144192
W0081,6,2.341654626
W0081,7,3.707052013
W0081,8,3.035520279
W0081,9,2.272381623
W0081,10,1.301045417
W0081,11,0.696893981
W0081,12,0.720742064
W0082,1,0.744590147
W0082,2,0.62459265
W0082,3,0.720742064
W0082,4,0.696893981
W0082,5,1.405144192
W0082,6,2.341654626
W0082,7,3.707052013
W0082,8,3.035520279
W0082,9,2.272381623
W0082,10,1.301045417
W0082,11,0.696893981
W0082,12,0.720742064
W0083,1,0.744590147
W0083,2,0.62459265
W0083,3,0.720742064
W0083,4,0.696893981
W0083,5,1.405144192
W0083,6,2.341654626
W0083,7,3.707052013
W0083,8,3.035520279
W0083,9,2.272381623
W0083,10,1.301045417
W0083,11,0.696893981
W0083,12,0.720742064
W0084,1,0.744590147
W0084,2,0.62459265
W0084,3,0.720742064
W0084,4,0.696893981
W0084,5,1.405144192
W0084,6,2.341654626
W0084,7,3.707052013
W0084,8,3.035520279
W0084,9,2.272381623
W0084,10,1.301045417
W0084,11,0.696893981
W0084,12,0.720742064
W0085,1,0.744590147
W0085,2,0.62459265
W0085,3,0.720742064
W0085,4,0.696893981
W0085,5,1.405144192
W0085,6,2.341654626
W0085,7,3.707052013
W0085,8,3.035520279
W0085,9,2.272381623
W0085,10,1.301045417
W0085,11,0.696893981
W0085,12,0.720742064
W0086,1,0.744590147
W0086,2,0.62459265
W0086,3,0.720742064
W0086,4,0.696893981
W0086,5,1.405144192
W0086,6,2.341654626
W0086,7,3.707052013
W0086,8,3.035520279
W0086,9,2.272381623
W0086,10,1.301045417
W0086,11,0.696893981
W0086,12,0.720742064
W0087,1,0.744590147
W0087,2,0.62459265
W0087,3,0.720742064
W0087,4,0.696893981
W0087,5,1.405144192
W0087,6,2.341654626
W0087,7,3.707052013
W0087,8,3.035520279
W0087,9,2.272381623
W0087,10,1.301045417
W0087,11,0.696893981
W0087,12,0.720742064
W0088,1,0.744590147
W0088,2,0.62459265
W0088,3,0.720742064
W0088,4,0.696893981
W0088,5,1.405144192
W0088,6,2.341654626
W0088,7,3.707052013
W0088,8,3.035520279
W0088,9,2.272381623
W0088,10,1.301045417
W0088,11,0.696893981
W0088,12,0.720742064
W0089,1,0.744590147
W0089,2,0.62459265
W0089,3,0.720742064
W0089,4,0.696893981
W0089,5,1.405144192
W0089,6,2.341654626
W0089,7,3.707052013
W0089,8,3.035520279
W0089,9,2.272381623
W0089,10,1.301045417
W0089,11,0.696893981
W0089,12,0.720742064
W0090,1,0.744590147
W0090,2,0.62459265
W0090,3,0.720742064
W0090,4,0.696893981
W0090,5,1.405144192
W0090,6,2.341654626
W0090,7,3.707052013
W0090,8,3.035520279
W0090,9,2.272381623
W0090,10,1.301045417
W0090,11,0.696893981
W0090,12,0.720742064
W0091,1,0.744590147
W0091,2,0.62459265
W0091,3,0.720742064
W0091,4,0.696893981
W0091,5,1.405144192
W0091,6,2.341654626
W0091,7,3.707052013
W0091,8,3.035520279
W0091,9,2.272381623
W0091,10,1.301045417
W0091,11,0.696893981
W0091,12,0.720742064
W0092,1,0.744590147
W0092,2,0.62459265
W0092,3,0.720742064
W0092,4,0.696893981
W0092,5,1.405144192
W0092,6,2.341654626
W0092,7,3.707052013
W0092,8,3.035520279
W0092,9,2.272381623
W0092,10,1.301045417
W0092,11,0.696893981
W0092,12,0.720742064
W0093,1,0.744590147
W0093,2,0.62459265
W0093,3,0.720742064
W0093,4,0.696893981
W0093,5,1.405144192
W0093,6,2.341654626
W0093,7,3.707052013
W0093,8,3.035520279
W0093,9,2.272381623
W0093,10,1.301045417
W0093,11,0.696893981
W0093,12,0.720742064
W0094,1,0.744590147
W0094,2,0.62459265
W0094,3,0.720742064
W0094,4,0.696893981
W0094,5,1.405144192
W0094,6,2.341654626
W0094,7,3.707052013
W0094,8,3.035520279
W0094,9,2.272381623
W0094,10,1.301045417
W0094,11,0.696893981
W0094,12,0.720742064
W0095,1,0.744590147
W0095,2,0.62459265
W0095,3,0.720742064
W0095,4,0.696893981
W0095,5,1.405144192
W0095,6,2.341654626
W0095,7,3.707052013
W0095,8,3.035520279
W0095,9,2.272381623
W0095,10,1.301045417
W0095,11,0.696893981
W0095,12,0.720742064
W0096,1,0.372484344
W0096,2,0.312296325
W0096,3,0.360371032
W0096,4,0.34825772
W0096,5,0.702572096
W0096,6,1.170827313
W0096,7,1.853336736
W0096,8,1.517570869
W0096,9,1.136001541
W0096,10,0.650333438
W0096,11,0.34825772
W0096,12,0.360371032
W0097,1,0.372484344
W0097,2,0.312296325
W0097,3,0.360371032
W0097,4,0.34825772
W0097,5,0.702572096
W0097,6,1.170827313
W0097,7,1.853336736
W0097,8,1.517570869
W0097,9,1.136001541
